Name,Smile,Vendor
Z397957132,CNC(=O)c1ccccc1OCc1cc(-c2ccccc2)on1,enamine
Z641673790,Cc1nc2cc(F)cc(C(=O)NCc3ccc(-n4cccn4)nc3)c2nc1C,enamine
Z1171594570,CC(NC(=O)c1cccc(C#N)c1)c1nc(-c2ccncc2)cs1,enamine
Z450207122,Cc1cnc(NC(=O)Cc2c(C)nn(-c3ccc(C(F)(F)F)cn3)c2C)s1,enamine
Z442589016,CC(c1ccc(-n2cncn2)cc1)N(C)C(=O)c1cnc(-c2ccccc2)s1,enamine
Z339911420,Cc1ccc(-c2nc(CS(=O)(=O)Cc3cc(=O)n4c(C)csc4n3)co2)cc1,enamine
Z183970424,Cc1ccnc(NC(=O)c2ccc(CS(=O)(=O)c3ccccc3)o2)c1,enamine
Z730764936,O=C(NCc1cnn(-c2ccccc2)c1)c1ccnc(-n2cncn2)c1,enamine
Z286220692,O=S(=O)(NCc1ccc(-n2cccn2)nc1)c1cccc(OC(F)(F)F)c1,enamine
Z826161742,Cc1ccc(C(=O)NCc2ccc(-n3ccnc3)c(F)c2)c(=O)[nH]1,enamine
Z1679887559,Cc1nc(C2CN(c3nnc(-c4ccccn4)s3)CCO2)no1,enamine
Z167070968,Cc1nc(-c2ccccc2)ccc1C(=O)NCc1nnc2ccccn12,enamine
Z955417718,CC(NC(=O)c1cccc(-n2cnnn2)c1)c1nc(-c2ccc(F)cc2)no1,enamine
Z25939468,c1ccc(-c2nc(COn3nnc4ccccc43)co2)cc1,enamine
Z90503288,c1ccc(CNCc2cn(Cc3ccccc3)nc2-c2cccnc2)cc1,enamine
Z735200314,Cc1ncsc1C(=O)Nc1sc(-c2ccccc2)c(C)c1C(=O)N1CCOCC1,enamine
Z738056564,Cc1nnnn1-c1cccc(NS(=O)(=O)c2ccc(F)c(F)c2F)c1,enamine
Z29325035,Cc1cnc(NC(=O)Cc2ccc(OCc3c(C)noc3C)cc2)s1,enamine
Z808256114,N#Cc1ccccc1Oc1ccc(Nc2ccc3nnnn3n2)cc1,enamine
Z240257644,Cc1cnc(NC(=O)Cc2nc(-c3ccccc3)oc2C)s1,enamine
Z29325689,COc1ccccc1N(C)S(=O)(=O)c1ccc(C(=O)Nc2ncc(C)s2)cc1,enamine
